"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Mes minis projets\Whopaying\FrontEnd\whopayingFront\src\assets\component\Creation\CreationGroup\CreationGroup.tsx", "TypeScript JSX", 211, 1, 24, 236
"c:\Mes minis projets\Whopaying\FrontEnd\whopayingFront\src\assets\component\ProfilElement\InformationsPersonnel\InformationsPersonnel.tsx", "TypeScript JSX", 52, 0, 11, 63
"c:\Mes minis projets\Whopaying\FrontEnd\whopayingFront\src\assets\component\ProfilElement\ToutprofilElement.tsx", "TypeScript JSX", 9, 0, 5, 14
"c:\Mes minis projets\Whopaying\FrontEnd\whopayingFront\src\assets\component\logElemnts\SingUp\SingUp.tsx", "TypeScript JSX", 145, 0, 19, 164
"c:\Mes minis projets\Whopaying\FrontEnd\whopayingFront\src\assets\component\logElemnts\Test.tsx", "TypeScript JSX", 7, 0, 5, 12
"c:\Mes minis projets\Whopaying\FrontEnd\whopayingFront\src\assets\component\logElemnts\Toutlogin.tsx", "TypeScript JSX", 7, 0, 10, 17
"c:\Mes minis projets\Whopaying\FrontEnd\whopayingFront\src\assets\component\logElemnts\VerifyEmail\VerfyEmail.tsx", "TypeScript JSX", 117, 0, 12, 129
"c:\Mes minis projets\Whopaying\FrontEnd\whopayingFront\src\assets\component\logElemnts\login\login.tsx", "TypeScript JSX", 109, 0, 42, 151
"c:\Mes minis projets\Whopaying\FrontEnd\whopayingFront\src\assets\component\logElemnts\login\test.tsx", "TypeScript JSX", 8, 0, 5, 13
"Total", "-", 665, 1, 133, 799
